rank,region,haufe,contrast,time_idx,time_s,sign
1,Region_298,0.08943985,1,29,20.16,+
2,Region_266,0.08453245,1,29,20.16,+
3,Region_300,0.08238699,1,29,20.16,+
4,Region_299,0.08153296,1,29,20.16,+
5,Region_016,0.08106093,1,29,20.16,+
6,Region_302,0.08093645,1,29,20.16,+
7,Region_297,0.07848444,1,29,20.16,+
8,Region_055,0.07691562,1,29,20.16,+
9,Region_029,0.07664338,1,29,20.16,+
10,Region_301,0.07611864,1,29,20.16,+
1,Region_011,-0.05886562,1,29,20.16,-
2,Region_315,-0.04616368,1,29,20.16,-
3,Region_314,-0.04306627,1,29,20.16,-
4,Region_317,-0.0424311,1,29,20.16,-
5,Region_039,-0.0408406,1,29,20.16,-
6,Region_276,-0.03540666,1,29,20.16,-
7,Region_042,-0.03511306,1,29,20.16,-
8,Region_312,-0.03182075,1,29,20.16,-
9,Region_041,-0.031254,1,29,20.16,-
10,Region_311,-0.03069077,1,29,20.16,-
1,Region_012,0.04121491,2,38,26.64,+
2,Region_044,0.03099076,2,38,26.64,+
3,Region_042,0.02302676,2,38,26.64,+
4,Region_011,0.01885383,2,38,26.64,+
5,Region_036,0.01647463,2,38,26.64,+
6,Region_310,0.015496,2,38,26.64,+
7,Region_252,0.01377716,2,38,26.64,+
8,Region_224,0.0129064,2,38,26.64,+
9,Region_307,0.01253841,2,38,26.64,+
10,Region_014,0.01250567,2,38,26.64,+
1,Region_266,-0.1231921,2,38,26.64,-
2,Region_298,-0.1115161,2,38,26.64,-
3,Region_273,-0.1078,2,38,26.64,-
4,Region_265,-0.1043125,2,38,26.64,-
5,Region_396,-0.100225,2,38,26.64,-
6,Region_050,-0.09704985,2,38,26.64,-
7,Region_056,-0.09557123,2,38,26.64,-
8,Region_055,-0.09510702,2,38,26.64,-
9,Region_278,-0.09278058,2,38,26.64,-
10,Region_297,-0.09172715,2,38,26.64,-
1,Region_298,0.07183636,3,14,9.36,+
2,Region_260,0.06694701,3,14,9.36,+
3,Region_354,0.0630369,3,14,9.36,+
4,Region_297,0.06179858,3,14,9.36,+
5,Region_302,0.04771537,3,14,9.36,+
6,Region_259,0.04652617,3,14,9.36,+
7,Region_299,0.04602424,3,14,9.36,+
8,Region_288,0.04496674,3,14,9.36,+
9,Region_266,0.0412143,3,14,9.36,+
10,Region_180,0.03671138,3,14,9.36,+
1,Region_315,-0.08350405,3,14,9.36,-
2,Region_011,-0.07936483,3,14,9.36,-
3,Region_285,-0.07909288,3,14,9.36,-
4,Region_316,-0.07219695,3,14,9.36,-
5,Region_291,-0.06919227,3,14,9.36,-
6,Region_286,-0.06542809,3,14,9.36,-
7,Region_032,-0.0650734,3,14,9.36,-
8,Region_318,-0.06447041,3,14,9.36,-
9,Region_013,-0.06088718,3,14,9.36,-
10,Region_025,-0.06072522,3,14,9.36,-
1,Region_258,0.02412564,4,34,23.76,+
2,Region_382,0.02261408,4,34,23.76,+
3,Region_214,0.0201168,4,34,23.76,+
4,Region_395,0.01829563,4,34,23.76,+
5,Region_056,0.01829383,4,34,23.76,+
6,Region_278,0.01702787,4,34,23.76,+
7,Region_487,0.01607933,4,34,23.76,+
8,Region_393,0.01575776,4,34,23.76,+
9,Region_140,0.01541149,4,34,23.76,+
10,Region_353,0.01494984,4,34,23.76,+
1,Region_007,-0.1098329,4,34,23.76,-
2,Region_011,-0.1049002,4,34,23.76,-
3,Region_286,-0.09716498,4,34,23.76,-
4,Region_025,-0.09447678,4,34,23.76,-
5,Region_009,-0.09287588,4,34,23.76,-
6,Region_032,-0.09087475,4,34,23.76,-
7,Region_034,-0.09049825,4,34,23.76,-
8,Region_012,-0.08928061,4,34,23.76,-
9,Region_008,-0.08775289,4,34,23.76,-
10,Region_318,-0.08757975,4,34,23.76,-
1,Region_396,0.03974087,5,2,0.72,+
2,Region_301,0.03882592,5,2,0.72,+
3,Region_297,0.0335451,5,2,0.72,+
4,Region_055,0.03253519,5,2,0.72,+
5,Region_299,0.02955281,5,2,0.72,+
6,Region_134,0.02928107,5,2,0.72,+
7,Region_195,0.02851585,5,2,0.72,+
8,Region_140,0.0284061,5,2,0.72,+
9,Region_088,0.02834417,5,2,0.72,+
10,Region_194,0.02759814,5,2,0.72,+
1,Region_012,-0.06151243,5,2,0.72,-
2,Region_001,-0.06091831,5,2,0.72,-
3,Region_011,-0.05581856,5,2,0.72,-
4,Region_007,-0.05260774,5,2,0.72,-
5,Region_036,-0.05170633,5,2,0.72,-
6,Region_009,-0.0511439,5,2,0.72,-
7,Region_315,-0.04927413,5,2,0.72,-
8,Region_042,-0.04898209,5,2,0.72,-
9,Region_039,-0.04734374,5,2,0.72,-
10,Region_010,-0.04709503,5,2,0.72,-
1,Region_265,0.09800233,6,41,28.8,+
2,Region_267,0.09458551,6,41,28.8,+
3,Region_297,0.08961202,6,41,28.8,+
4,Region_353,0.08769717,6,41,28.8,+
5,Region_263,0.07577283,6,41,28.8,+
6,Region_299,0.07561415,6,41,28.8,+
7,Region_295,0.07452854,6,41,28.8,+
8,Region_395,0.07236125,6,41,28.8,+
9,Region_261,0.07175277,6,41,28.8,+
10,Region_143,0.07140521,6,41,28.8,+
1,Region_007,-0.06684281,6,41,28.8,-
2,Region_001,-0.06450847,6,41,28.8,-
3,Region_025,-0.06414282,6,41,28.8,-
4,Region_286,-0.062405,6,41,28.8,-
5,Region_292,-0.0617596,6,41,28.8,-
6,Region_032,-0.06112844,6,41,28.8,-
7,Region_008,-0.05538241,6,41,28.8,-
8,Region_096,-0.05350839,6,41,28.8,-
9,Region_002,-0.05343712,6,41,28.8,-
10,Region_291,-0.05183633,6,41,28.8,-
